اليوم,الترتيب,القول,القائل
1,1,العقل ما عبد به الرحمن واكتسب به الجنان,الإمام الصادق (ع)
1,2,إن الثواب على قدر العقل,الإمام الصادق (ع)
1,3,اكمل الناس عقلاً أحسنهم خلقاً,الإمام الصادق (ع)
2,1,كثرة النظر في العلم تفتح العقل,الإمام الصادق (ع)
2,2,لا مال أعود من العقل,الإمام علي (ع)
2,3,ما استودع الله امرءاً عقلاً إلا استنقذه به يوماً ما,الإمام علي (ع)
3,1,صديق كل امرئ عقله وعدوه جهله,الإمام الرضا (ع)
3,2,حسن الصورة جمال ظاهر وحسن العقل جمال باطن,الإمام الهادي (ع)
3,3,ثمن الجنة لا إله إلا الله,رسول الله (ص)
4,1,القصد إلى الله بالقلوب أبلغ من إتعاب الجوارح بالأعمال,الإمام الجواد (ع)
4,2,فكرة ساعة خير من عبادة سنة,رسول الله (ص)
4,3,أفضل العبادة إدمان التفكر في الله وفي قدرته,الإمام الصادق (ع)
5,1,ليس العبادة كثرة الصيام والصلاة وإنما العبادة كثرة التفكر في أمر الله,الإمام الرضا (ع)
5,2,وبالإخلاص يكون الخلاص,الإمام علي (ع)
5,3,من أنس بالله استوحش من الناس,الإمام الحسن العسكري (ع)
6,1,من عبد الله حق عبادته آتاه الله فوق أمانيه وكفايته,الإمام الحسين (ع)
6,2,أقرب ما يكون العبد من الله إذا كان في صلاة,الإمام الباقر (ع)
6,3,الصلاة قربان كل تقي,الإمام الرضا (ع)
7,1,الله الله في الصلاة فإنها تطفئ غضب ربكم,الإمام علي (ع)
7,2,حصنوا أموالكم بالزكاة,الإمام علي (ع)
7,3,الجهاد أفضل شيء بعد الفرائض,الإمام الصادق (ع)
8,1,أحب الأعمال إلى الله عز وجل في الأرض الدعاء وأفضل العبادة العفاف,الإمام علي (ع)
8,2,الثقة بالله ثمن لكل غالٍ وسُلّم إلى كل عالٍ,الإمام الجواد (ع)
8,3,عز المؤمن غناه عن الناس,الإمام موسى الكاظم (ع)
9,1,خف الله تأمن غيره,الإمام علي (ع)
9,2,أحسن الحسن الخلق الحسن,الإمام الحسن (ع)
9,3,ما يوضع في ميزان امرئ يوم القيامة أفضل من حسن الخلق,الإمام زين العابدين (ع)
10,1,اكملكم إيماناً أحسنكم خلقاً,الإمام علي (ع)
10,2,حسن الخلق نصف الدين,رسول الله (ص)
10,3,تبسم المؤمن بوجه المؤمن حسنة,الإمام الصادق (ع)
11,1,من أدى فريضة فله عند الله دعوة مستجابة,رسول الله (ص)
11,2,نوم الصائم عبادة ونفَسه تسبيح,رسول الله (ص)
11,3,الصوم جنة من النار,رسول الله (ص)
12,1,الصوم جنة من آفات الدنيا وحجاب من عذاب الآخرة,رسول الله (ص)
12,2,جهاد المرأة حسن التبعل,رسول الله (ص)
12,3,من وثق بالله واتكل عليه نجّاه الله من كل سوء وحرزه من كل عدو,الإمام الجواد (ع)
13,1,من أوثق عرى الإيمان أن تحب في الله وتبغض في الله وتعطي في الله وتمنع في الله,الإمام الصادق (ع)
13,2,إن العبد لينال بحسن خلقه درجة الصائم القائم,رسول الله (ص)
13,3,عنوان صحيفة المؤمن حسن خلقه,رسول الله (ص)
14,1,أكثر ما تلج به أمتي تقوى الله وحسن الخلق,رسول الله (ص)
14,2,حسن الخلق يزيد في الرزق,رسول الله (ص)
14,3,ما من شيء أثقل في الميزان من حسن الخلق,رسول الله (ص)
15,1,القول الحسن يُثري المال وينمي الرزق ويزيد في العمر ويحبب إلى الأهل ويدخل الجنة,الإمام زين العابدين (ع)
15,2,ثلاثة تدل على كرم المرء: حسن الخلق وكظم الغيظ وغض الطرف,الإمام الصادق (ع)
15,3,ما زُوي الرفق عن أهل بيت إلا زُوي عنهم الخير,الإمام الصادق (ع)
16,1,أيما أهل بيت أُعطوا حظهم من الرفق فقد وسّع الله عليهم من الرزق,الإمام الصادق (ع)
16,2,رأس العقل بعد الدين التودد إلى الناس واصطناع الخير إلى كل بر وفاجر,رسول الله (ص)
16,3,التودد إلى الناس نصف العقل,الإمام موسى الكاظم (ع)
17,1,عيبك مستور ما أسعدك جدّك,الإمام علي (ع)
17,2,أولى الناس بالعفو أقدرهم على العقوبة,الإمام علي (ع)
17,3,السخاء ما كان ابتداءً فأما ما كان عن مسألة فحياء وتذمم,الإمام علي (ع)
18,1,لا غنى كالعقل ولا فقر كالجهل ولا ميراث كالأدب ولا ظهير كالمشاورة,الإمام علي (ع)
18,2,الصبر صبران: صبر على ما تكره وصبر عما تحب,الإمام علي (ع)
18,3,الغنى في الغربة وطن والفقر في الوطن غربة,الإمام علي (ع)
19,1,القناعة مال لا ينفد,الإمام علي (ع)
19,2,المال مادة الشهوات,الإمام علي (ع)
19,3,من حذّرك كمن بشّرك,الإمام علي (ع)
20,1,اللسان سبع إن خُلّي عنه عقر,الإمام علي (ع)
20,2,إذا حُييت بتحية فحيّ بأحسن منها,الإمام علي (ع)
20,3,الشفيع جناح الطالب,الإمام علي (ع)
21,1,أهل الدنيا كركب يُسار بهم وهم نيام,الإمام علي (ع)
21,2,فقد الأحبة غربة,الإمام علي (ع)
21,3,فوت الحاجة أهون من طلبها إلى غير أهلها,الإمام علي (ع)
22,1,لا تستحِ من إعطاء القليل فإن الحرمان أقل منه,الإمام علي (ع)
22,2,العفاف زينة الفقر والشكر زينة الغنى,الإمام علي (ع)
22,3,إذا لم يكن ما تريد فلا تُبالِ ما كنت,الإمام علي (ع)
23,1,لا ترى الجاهل إلا مُفرطاً أو مُفرّطاً,الإمام علي (ع)
23,2,إذا تمّ العقل نقص الكلام,الإمام علي (ع)
23,3,نفَس المرء خطاه إلى أجله,الإمام علي (ع)
24,1,كل معدود منقضٍ وكل متوقّع آتٍ,الإمام علي (ع)
24,2,إن الأمور إذا اشتبهت اعتُبر آخرها بأولها,الإمام علي (ع)
24,3,خذ الحكمة أنّى كانت,الإمام علي (ع)
25,1,الحكمة ضالة المؤمن فخذ الحكمة ولو من أهل النفاق,الإمام علي (ع)
25,2,قيمة كل امرئ ما يُحسنه,الإمام علي (ع)
25,3,من ترك قول لا أدري أُصيبت مقاتله,الإمام علي (ع)
26,1,رأي الشيخ أحب إليّ من جلَد الغلام,الإمام علي (ع)
26,2,عجبت لمن يقنط ومعه الاستغفار,الإمام علي (ع)
26,3,من أصلح ما بينه وبين الله أصلح الله ما بينه وبين الناس,الإمام علي (ع)
27,1,إن هذه القلوب تملّ كما تملّ الأبدان فابتغوا لها طرائف الحِكم,الإمام علي (ع)
27,2,أوضع العلم ما وُقف على اللسان وأرفعه ما ظهر في الجوارح والأركان,الإمام علي (ع)
27,3,نوم على يقين خير من صلاة في شك,الإمام علي (ع)
28,1,اعقلوا الخبر إذا سمعتموه عقل رعاية لا عقل رواية,الإمام علي (ع)
28,2,لا خير في الدنيا إلا لرجلين: رجل أذنب ذنوباً فهو يتداركها بالتوبة ورجل يسارع في الخيرات,الإمام علي (ع)
28,3,أخوك من واساك في الشدة,الإمام علي (ع)
29,1,أحسن إلى المسيء تَسُده,الإمام علي (ع)
29,2,أدب المرء خير من ذهبه,الإمام علي (ع)
29,3,باكر بالخير تسعد,الإمام علي (ع)
30,1,بركة العمر في حسن العمل,الإمام علي (ع)
30,2,هلاك المرء في العجب,الإمام علي (ع)
30,3,لا صواب مع ترك المشورة,الإمام علي (ع)
